date,0x5d22045DAcEAB03B158031eCB7D9d06Fad24609b
2021-07-04,1877.27652113
2021-07-05,1879.92324703
2021-07-06,1890.53371345
2021-07-07,1901.17859585
2021-07-08,1937.15837619
2021-07-09,1978.32983382
2021-07-10,2024.57627774
2021-07-11,1647.44383943
2021-07-12,1569.96382043
2021-07-13,1580.0521851
2021-07-14,1602.0651851
2021-07-15,1682.16725712
2021-07-16,1682.96030077
2021-07-17,1696.96030077
2021-07-18,1698.94032094
2021-07-19,1699.04032094
2021-07-20,1693.06532094
2021-07-21,1672.78357629
2021-07-22,1716.15167385
2021-07-23,1716.28973104
2021-07-24,1714.86800347
2021-07-25,1714.86800347
2021-07-26,1717.06223588
2021-07-27,1741.03766648
2021-07-28,1811.89991845
2021-07-29,1814.83491845
2021-07-30,1815.24597845
2021-07-31,1817.2218477
2021-08-01,1852.82331194
2021-08-02,1451.92408801
2021-08-03,1466.40461284
2021-08-04,1467.00633735
2021-08-05,1471.98500919
2021-08-06,1557.81263325
2021-08-07,2045.30696262
2021-08-08,2555.34994925
2021-08-09,2565.64869499
2021-08-10,2574.66289145
2021-08-11,3021.08255487
2021-08-12,3021.01238495
2021-08-13,3057.04190988
2021-08-14,3084.62840988
2021-08-15,3085.42086724
2021-08-16,3084.26724537
2021-08-17,3093.79724537
2021-08-18,3094.49550072
2021-08-19,3129.77531866
2021-08-20,3189.32387531
2021-08-21,2485.69828341
2021-08-22,2620.76828341
2021-08-23,2731.42201013
2021-08-24,2739.87506909
2021-08-25,2728.29270195
2021-08-26,2728.50670195
2021-08-27,2742.04629009
2021-08-28,2742.53629009
2021-08-29,2840.51549988
2021-08-30,2896.15009819
2021-08-31,2836.82797011
2021-09-01,2854.16782216
2021-09-02,2918.05521976
2021-09-03,2948.12521976
2021-09-04,2977.12521976
2021-09-05,2977.12521976
2021-09-06,2964.97487904
2021-09-07,2971.17128806
2021-09-08,2977.81530741
2021-09-09,3010.00530741
2021-09-10,3190.95773477
2021-09-11,3192.768071
2021-09-12,3195.55231672
2021-09-13,3226.72028917
2021-09-14,3230.81136103
2021-09-15,3208.73522722
2021-09-16,3210.43829502
2021-09-17,3214.81394758
2021-09-18,3214.85508702
2021-09-19,3220.42493656
2021-09-20,3221.89366518
2021-09-21,3541.86761983
2021-09-22,3549.95289015
2021-09-23,3585.15891518
2021-09-24,3573.16910076
2021-09-25,3582.41591581
2021-09-26,3584.42963072
2021-09-27,3595.12414437
2021-09-28,3625.26849562
2021-09-29,3679.57153833
2021-09-30,3658.1127337
2021-10-01,3792.43385144
2021-10-02,3797.38993332
2021-10-03,3868.70862128
2021-10-04,3892.66799289
2021-10-05,3904.46899289
2021-10-06,3949.67039289
2021-10-07,3847.95257881
2021-10-08,3884.71398621
2021-10-09,3963.80622657
2021-10-10,3965.87437905
2021-10-11,2994.37313829
2021-10-12,3005.13145505
2021-10-13,3085.90422155
2021-10-14,3100.56339312
2021-10-15,3202.63144362
2021-10-16,3209.05095856
2021-10-17,3268.36025856
2021-10-18,3274.2263466
2021-10-19,3279.6542466
2021-10-20,2567.27737696
2021-10-21,2572.37120039
2021-10-22,2580.5783922
2021-10-23,2583.37161273
2021-10-24,2654.72208163
2021-10-25,2655.91497071
2021-10-26,2656.69997071
2021-10-27,2664.56672536
2021-10-28,2665.75672536
2021-10-29,2667.0617596
2021-10-30,2719.26655538
2021-10-31,2839.27058536
2021-11-01,2934.13946432
2021-11-02,2935.84050902
2021-11-03,2946.74750902
2021-11-04,2949.28922136
2021-11-05,2949.05612134
2021-11-06,3004.22224581
2021-11-07,3030.0853816
2021-11-08,3060.1155733
2021-11-09,3081.3960733
2021-11-10,3103.1760733
2021-11-11,3133.22580357
2021-11-12,3143.88580357
2021-11-13,3150.22496174
2021-11-14,3158.91076285
2021-11-15,3194.09726984
2021-11-16,3214.71196514
2021-11-17,3274.24836079
2021-11-18,2419.63271973
2021-11-19,2430.67777336
2021-11-20,2477.83493873
2021-11-21,2567.37343431
2021-11-22,2713.73825604
