date,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2022-01-07,7569064.601058744
2022-01-08,7624605.840828396
2022-01-09,7633463.13767342
2022-01-10,7629151.549409342
2022-01-11,7650797.438384326
2022-01-12,7666474.530813394
2022-01-13,7681581.839972844
2022-01-14,7714015.869801666
2022-01-15,7691906.247530743
2022-01-16,7678930.073023502
2022-01-17,7683188.414513905
2022-01-18,7723292.925962716
2022-01-19,7774339.664301995
2022-01-20,7890713.169979757
2022-01-21,8000717.859791619
2022-01-22,8056716.555671543
2022-01-23,8053384.333152193
2022-01-24,8133940.7179948175
2022-01-25,8139241.108726464
2022-01-26,8097699.49131173
2022-01-27,8095711.639451277
2022-01-28,8099170.537146602
2022-01-29,8085639.345840622
2022-01-30,7983239.413539269
2022-01-31,7933337.7896867925
2022-02-01,7861736.468082412
2022-02-02,7818671.493203642
2022-02-03,7753345.651777899
2022-02-04,7821498.984796047
2022-02-05,7723223.5377763165
2022-02-06,7728536.325337922
2022-02-07,7748621.1185261635
2022-02-08,7718087.657428659
2022-02-09,7724054.849861657
2022-02-10,7710440.016219098
2022-02-11,7596125.426451775
2022-02-12,7588768.574242864
2022-02-13,7591227.669198392
2022-02-14,7611447.600360532
2022-02-15,7457831.507104974
2022-02-16,7407148.793787988
2022-02-17,7400210.3200027095
2022-02-18,7464135.495243752
2022-02-19,7515159.89504259
2022-02-20,7494048.548670531
2022-02-21,7496989.727878845
2022-02-22,7494447.297133553
2022-02-23,7451442.306471187
2022-02-24,7458564.3793726675
2022-02-25,7263340.456191905
2022-02-26,7170733.961652139
2022-02-27,7176145.645444609
2022-02-28,7216656.113933752
2022-03-01,7160157.0338717755
2022-03-02,7181261.336406259
2022-03-03,7165622.315553716
2022-03-04,7187017.625415699
2022-03-05,7213101.246202199
2022-03-06,7203346.102866845
2022-03-07,7210426.0263629155
2022-03-08,7206301.173390604
2022-03-09,7180768.239080633
2022-03-10,7133057.166724421
2022-03-11,7101466.805950776
2022-03-12,7094607.180457634
2022-03-13,7079115.245248454
2022-03-14,7071002.209492924
2022-03-15,7028599.484513249
2022-03-16,6850066.586110137
2022-03-17,6790650.51548654
2022-03-18,6765916.857026548
2022-03-19,6782129.919785672
2022-03-20,6774274.7907040175
2022-03-21,6782630.635831789
2022-03-22,6775824.035712775
2022-03-23,6706499.239416717
2022-03-24,6523805.982530847
2022-03-25,6520359.540528278
2022-03-26,6549191.2321735155
2022-03-27,6546153.686196498
2022-03-28,6531563.045212118
2022-03-29,6517182.081303699
2022-03-30,6492044.890758296
2022-03-31,6520575.668995133
2022-04-01,6186825.1744178105
2022-04-02,6286222.6669551805
2022-04-03,6269995.942958673
2022-04-04,6233213.710379267
2022-04-05,6228329.291603859
2022-04-06,6242927.550268912
2022-04-07,6293219.431370232
2022-04-08,6375924.129005114
2022-04-09,6361084.849096082
2022-04-10,6342138.3387265215
2022-04-11,6311977.044724089
2022-04-12,6346032.8644100465
2022-04-13,6336173.797511231
2022-04-14,6263950.731906072
2022-04-15,6271084.909890207
2022-04-16,6286592.981755815
2022-04-17,6314243.648476696
2022-04-18,6285605.3312823875
2022-04-19,6271704.158257822
2022-04-20,6258705.142868472
2022-04-21,6284680.564364355
2022-04-22,6238673.022754847
2022-04-23,6178247.029027277
2022-04-24,6182679.179330141
2022-04-25,6191416.671752986
2022-04-26,6215315.96023624
